,GWO,AO,ARO,BBO
316,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
317,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
318,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
319,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
320,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
321,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
322,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
323,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
324,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
325,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
326,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
327,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
328,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
329,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
330,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
331,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
332,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
333,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
334,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
335,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
336,22789.482845420527,22841.91560212007,22788.34669017914,22793.87502535595
337,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
338,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
339,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
340,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
341,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
342,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
343,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
344,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
345,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
346,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
347,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
348,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
349,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
350,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
351,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
352,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
353,22789.040168136948,22841.91560212007,22788.34669017914,22793.87502535595
354,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
355,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
356,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
357,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
358,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
359,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
360,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
361,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
362,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
363,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
364,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
365,22786.93557466383,22841.91560212007,22788.34669017914,22793.87502535595
366,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
367,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
368,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
369,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
370,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
371,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
372,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
373,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
374,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
375,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
376,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
377,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
378,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
379,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
380,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
381,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
382,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
383,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
384,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
385,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
386,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
387,22786.93557466383,22835.141027175283,22788.34669017914,22793.87502535595
